threshold,micro_f1_score,macro_f1_score,precision,recall,exact_match,accuracy
0.01,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.02,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.03,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.04,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.05,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.060000000000000005,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.06999999999999999,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.08,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.09,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.09999999999999999,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.11,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.12,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.13,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.14,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.15000000000000002,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.16,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.17,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.18000000000000002,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.19,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.2,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.21000000000000002,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.22,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.23,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.24000000000000002,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.25,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.26,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.27,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.28,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.29000000000000004,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.3,0.16286875110404522,0.15796627758455906,0.08865384615384615,0.93,0.0,0.08865407109260559
0.31,0.16986706056129985,0.16144911609500046,0.0929385198135198,0.92875,0.0,0.09292255342006683
0.32,0.17426501917341286,0.16473382213327892,0.09928034465534465,0.8275,0.0025,0.09797126799821854
0.33,0.16524216524216526,0.15332813567801828,0.09040547646797646,0.6420833333333335,0.0025,0.08704884350299835
0.34,0.0,0.0,0.0,0.0,0.07,nan
0.35000000000000003,0.0,0.0,0.0,0.0,0.07,nan
0.36000000000000004,0.0,0.0,0.0,0.0,0.07,nan
0.37,0.0,0.0,0.0,0.0,0.07,nan
0.38,0.0,0.0,0.0,0.0,0.07,nan
0.39,0.0,0.0,0.0,0.0,0.07,nan
0.4,0.0,0.0,0.0,0.0,0.07,nan
0.41000000000000003,0.0,0.0,0.0,0.0,0.07,nan
0.42000000000000004,0.0,0.0,0.0,0.0,0.07,nan
0.43,0.0,0.0,0.0,0.0,0.07,nan
0.44,0.0,0.0,0.0,0.0,0.07,nan
0.45,0.0,0.0,0.0,0.0,0.07,nan
0.46,0.0,0.0,0.0,0.0,0.07,nan
0.47000000000000003,0.0,0.0,0.0,0.0,0.07,nan
0.48000000000000004,0.0,0.0,0.0,0.0,0.07,nan
0.49,0.0,0.0,0.0,0.0,0.07,nan
0.5,0.0,0.0,0.0,0.0,0.07,nan
0.51,0.0,0.0,0.0,0.0,0.07,nan
0.52,0.0,0.0,0.0,0.0,0.07,nan
0.53,0.0,0.0,0.0,0.0,0.07,nan
0.54,0.0,0.0,0.0,0.0,0.07,nan
0.55,0.0,0.0,0.0,0.0,0.07,nan
0.56,0.0,0.0,0.0,0.0,0.07,nan
0.5700000000000001,0.0,0.0,0.0,0.0,0.07,nan
0.5800000000000001,0.0,0.0,0.0,0.0,0.07,nan
0.59,0.0,0.0,0.0,0.0,0.07,nan
0.6,0.0,0.0,0.0,0.0,0.07,nan
