threshold,micro_f1_score,macro_f1_score,precision,recall,exact_match,accuracy
0.01,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.02,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.03,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.04,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.05,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.060000000000000005,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.06999999999999999,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.08,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.09,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.09999999999999999,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.11,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.12,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.13,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.14,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.15000000000000002,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.16,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.17,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.18000000000000002,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.19,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.2,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.21000000000000002,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.22,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.23,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.24000000000000002,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.25,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.26,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.27,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.28,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.29000000000000004,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.3,0.1648264984227129,0.15840906705034874,0.08981521272024065,1.0,0.0,0.08981529623270035
0.31,0.17254251347988384,0.15790046596371296,0.09445958219800181,0.9952153110047847,0.0,0.09459111094474792
0.32,0.17511067388096407,0.15585131103210442,0.09758771929824561,0.8516746411483254,0.0,0.09640755504369736
0.33,0.1618569636135508,0.14075471292231598,0.09314079422382672,0.6172248803827751,0.0,0.07642455399036407
0.34,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0,0.0,0.0
